username,post_link,likes_count,comments_count,shares_count
solodelicious,https://www.instagram.com/solodelicious/p/Ctbg1IgSORC/,1065,26,0
solokenyang,https://www.instagram.com/solokenyang/reel/CtLwPOmpSSu/,436,8,0
solodelicious,https://www.instagram.com/solodelicious/reel/CsppbHTvEZ_/,626,16,0
solodelicious,https://www.instagram.com/solodelicious/p/CryFSM2yjLY/,881,11,0
solodelicious,https://www.instagram.com/solodelicious/reel/CrdVRlBNN9q/,1115,14,0
widyoagung,https://www.instagram.com/widyoagung/reel/CqMpgqBOD_V/,13,0,0
aris.mahardi,https://www.instagram.com/aris.mahardi/reel/CpIVZY7gjQE/,20,1,0
pusparisti,https://www.instagram.com/pusparisti/reel/CpBmYLpjcqp/,10,0,0
kopi_ngrayun,https://www.instagram.com/kopi_ngrayun/p/Co9MFWHrBWX/,6,0,0
saadah_umiyanti,https://www.instagram.com/saadah_umiyanti/reel/Cn6nFZQg1lH/,6,0,0
smaitnh,https://www.instagram.com/smaitnh/p/Cnt032Jv0BO/,305,0,0
hobikulinersolo,https://www.instagram.com/hobikulinersolo/reel/Cm8VrDHJXng/,61,1,0
pusparisti,https://www.instagram.com/pusparisti/reel/Cm20ig2Dziw/,18,0,0
hobikulinersolo,https://www.instagram.com/hobikulinersolo/p/CmsmWUYv1GN/,88,0,0
jajanankakilimasolo,https://www.instagram.com/jajanankakilimasolo/p/CmsmJlivbF7/,15,0,0
kebunngarepomah,https://www.instagram.com/kebunngarepomah/reel/CmXt9AcNDC5/,5,1,0
kebunngarepomah,https://www.instagram.com/kebunngarepomah/reel/CmJbfWuLeth/,4,0,0
rona_marisca,https://www.instagram.com/rona_marisca/p/Cl15GBPh2Qw/,14,0,0
sebelasrasa,https://www.instagram.com/sebelasrasa/p/ClGfMOpLyXM/,35,2,0
kebunngarepomah,https://www.instagram.com/kebunngarepomah/reel/Cke_s3hve1x/,19,0,0
kebunngarepomah,https://www.instagram.com/kebunngarepomah/reel/CkXNB3tP8_b/,19,0,0
